Subject ,Name,Order,PosNeg,Period,Scent,Interactduration,Interact1zero,Subject2,Period2,Rest,Repetitive,Explore,Sleep,Vocal,Stress,Alert,Interacttotal
24,Niki,BEC,P,Scented toys,Rabbit,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Olli,BCE,P,Scented toys,Rabbit,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Pickles,ECB,N,Scented toys,Rabbit,175,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Ricky,CBE,N,Scented toys,Rabbit,98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Rocky,BEC,P,Scented toys,Rabbit,177,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Rolly,BEC,P,Scented toys,Rabbit,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Russel,BEC,P,Scented toys,Rabbit,109,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Rusty,ECB,N,Scented toys,Rabbit,85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Samson,CEB,N,Scented toys,Rabbit,123,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Sandy,BCE,P,Scented toys,Rabbit,453,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Shaddow,ECB,N,Scented toys,Rabbit,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Snow,CBE,N,Scented toys,Rabbit,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Star,BCE,P,Scented toys,Rabbit,172,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Stella,BCE,P,Scented toys,Rabbit,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Sunny,EBC,N,Scented toys,Rabbit,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Suzie,BCE,P,Scented toys,Rabbit,237,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Timmy,ECB,N,Scented toys,Rabbit,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Tubs,CEB,N,Scented toys,Rabbit,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Tyson,BCE,P,Scented toys,Rabbit,326,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Walter,ECB,N,Scented toys,Rabbit,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Zara,CEB,N,Scented toys,Rabbit,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
